category,unit(校准单元),members,row_sum(类内指标),mean_elasticity(类内均值),share_in_category,selected(阀门:均值≥0.1),note
a.风险感知与风险融合,SEEV_VALUE_WEIGHTS(组合),SEEV_VALUE_SAFETY_WEIGHT+SEEV_VALUE_PROGRESS_WEIGHT+SEEV_EXPECTANCY_RISK_WEIGHT,0.6736,0.1347,0.8376,YES,三权重机制耦合(SAFETY+PROGRESS=1)，合并为一个校准单元
a.风险感知与风险融合,ACTR_RISK_LANDMARK_RELIEF,ACTR_RISK_LANDMARK_RELIEF,0.1281,0.0256,0.1593,,平均弹性低于阀门0.1，固定为专家默认值
a.风险感知与风险融合,ACTR_RISK_CANE_GUIDANCE_RELIEF,ACTR_RISK_CANE_GUIDANCE_RELIEF,0.0025,0.0005,0.0031,,平均弹性低于阀门0.1，固定为专家默认值
b.探测与恢复,PROBE_RELIEF_RATIO,PROBE_RELIEF_RATIO,2.9600,0.5920,1.0000,YES,
b.探测与恢复,ACTR_LOAD_RESUME_THRESHOLD,ACTR_LOAD_RESUME_THRESHOLD,0.0000,0.0000,0.0000,,扰动下弹性为0（局部不敏感/结构性不可辨识），不入选
c.记忆检索,MEMORY_ACTIVE_RETRIEVAL_TH,MEMORY_ACTIVE_RETRIEVAL_TH,24.6460,4.9292,单列,YES,"阈值型单列：默认0.15为非触发区，弹性在工作区间中点0.055±20%（独立基准）下测得；全量程扫描确认工作区间[0.03,0.08]"
c.记忆检索,MEMORY_ACTIVE_ABSENT_STEPS_TH,MEMORY_ACTIVE_ABSENT_STEPS_TH,11.1996,2.2399,0.8141,YES,
c.记忆检索,LANDMARK_DECAY_RATE,LANDMARK_DECAY_RATE,2.5567,0.5113,0.1859,YES,
d.动态风险,LOOMING_BOOST_DECAY,LOOMING_BOOST_DECAY,2.1555,0.4311,0.4895,YES,
d.动态风险,LOOMING_BOOST_PEAK,LOOMING_BOOST_PEAK,1.8146,0.3629,0.4121,YES,
d.动态风险,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.4329,0.0866,0.0983,,平均弹性低于阀门0.1，固定为专家默认值
